numero_de_dossier,annee_budgetaire,nom_beneficiaire,numero_siret,objet_du_dossier,montant_vote,direction,nature_de_la_subvention,secteurs_d_activites_definies_par_l_association
2022_03184,2022,ASSOCIATION DES ARTISTES ET ARTISANS D'ART OU 4A,52191800000000.0,BUDGET DE FONCTIONNEMENT ET DE LOGISTIQUE POUR LA REALISATION DE DIVERS SALONS D'ART,3000.0,DAE,Fonctionnement,none
2022_02509,2022,ASSOCIATION POUR LE COUPLE ET L'ENFANT A PARIS APCE 75 AFCCC,38502100000000.0,service de prestation de médiation familiale (prévisionnel 2022),23000.0,DFPE,Fonctionnement,none
2022_00851,2022,COMITE DE PARIS DE HOCKEY,44797600000000.0,Convention d'objectifs,12000.0,DJS,Fonctionnement,none
2022_04327,2022,MEDECINS DE L'IMAGINAIRE,47882400000000.0,"Ar-thérapie pour les enfants, ados et adultes en situation de fragilité liée à la maladie grave",5000.0,DSP,Projet,none
2024_03586,2024,COMPAGNIE THE SINGING MICE !,82785000000000.0,MU24DIF1,4000.0,DAC,Projet,['culture & arts']
2024_03297,2024,ASSOCIATION GERMAINE TILLION,48975800000000.0,Journée pour les vingt ans de l'Association Germaine Tillion : 21 novembre 2024,2500.0,DAC,Fonctionnement,none
2024_07795,2024,COLLECTIF ARCHIVES LGBTQI+,83854000000000.0,Centre des mémoires et des cultures LGBTQI+,13000.0,DDCT,Projet,none
2024_04096,2024,MA RESSOURCERIE,52189400000000.0,ma resssourcerie subvention annuelle 2024 de fonctionnement,25000.0,DPE,Indéterminée,none
2022_04056,2022,FESTIVAL DU LIVRE ET DE LA PRESSE D'ECOLOGIE FELIPE,47868900000000.0,Festival du Livre et de la presse d'écologie - 20e édition,2500.0,DTEC,Projet,none
2024_02939,2024,REPUBLIQUE ENFANTS,32396200000000.0,Demande de subvention sur Budget Prévisionnel de fonctionnement 2024,94312.0,DFPE,Fonctionnement,['education & formation']
